"","outcome","onset","param","Estimate","Est.Error","Q2.5","Q97.5"
"1","FVC","spinal","Intercept",3.08372221709591,0.0756002366874238,2.93609435316101,3.23008148853259
"2","SVC","spinal","Intercept",2.9818552682996,0.0778056387790753,2.8303997061749,3.13286623390009
"3","SNIP","spinal","Intercept",63.5873215512097,1.66481257024532,60.2062637970944,66.7473313232646
"4","PEAK","spinal","Intercept",353.3584818506,7.4547432697935,338.453852803694,368.12468487182
"5","FVC","spinal","slope",-0.0324200847585506,0.00401149730382564,-0.0405429947997048,-0.0246492660688053
"6","SVC","spinal","slope",-0.0263731849034816,0.00417499692549955,-0.0345850080365664,-0.0182647121542738
"7","SNIP","spinal","slope",-0.602808851433933,0.152931025761428,-0.899034348656295,-0.301270070974138
"8","PEAK","spinal","slope",-3.59224398925106,0.60303012252544,-4.79137396754336,-2.425617007629
"9","FVC","bulbar","Intercept",3.10750742416766,0.13917453119935,2.83214041573109,3.37600792690419
"10","FVC","bulbar","slope",-0.0379571431940166,0.0141887922688652,-0.065969072227193,-0.0100255954325769
"11","SVC","bulbar","Intercept",3.05185390484342,0.141507810495054,2.77335982373715,3.3268375471733
"12","SVC","bulbar","slope",-0.0385811249949247,0.014732560168481,-0.0672762476804459,-0.00998858720428562
"13","SNIP","bulbar","Intercept",63.5837245942506,1.76530182236667,60.0053413110286,66.9404618267792
"14","SNIP","bulbar","slope",-1.30796144163732,0.530649607677454,-2.33293943833675,-0.269017915214691
"15","PEAK","bulbar","Intercept",353.356734530279,7.55586980765396,338.251792416585,368.322279396465
"16","PEAK","bulbar","slope",-5.9570564403039,2.03483809941024,-9.96545209549983,-2.04586135033832
